orden_compra,fecha_pedido,sku,cantidad,proveedor,fecha_promesa,fecha_recepcion,costo_unitario
OC-5519,2025-05-16,MP-0035,1368,PROV-34,2025-06-02,2025-06-24,391712
OC-5821,2025-07-04,MP-0085,233,PROV-25,2025-07-15,2025-07-17,42369
OC-5851,2025-04-21,MP-0089,346,PROV-14,2025-04-30,2025-05-01,56054
OC-5841,2026-01-08,MP-0088,347,PROV-17,2026-01-13,2026-01-18,42952
OC-5594,2026-04-22,MP-0041,174,PROV-26,2026-05-01,2026-05-04,33775
OC-5600,2026-05-23,MP-0042,380,PROV-08,2026-06-04,2026-06-19,50406
OC-6265,2024-08-23,MP-0222,75,PROV-11,2024-09-07,2024-09-22,1810
OC-5674,2024-11-27,MP-0055,424,PROV-02,2024-12-10,2024-12-16,43990
OC-5619,2026-06-26,MP-0045,236,PROV-09,2026-07-02,2026-07-09,62696
OC-5494,2026-05-15,MP-0033,1915,PROV-15,2026-05-31,2026-06-15,157770
OC-5827,2025-11-11,MP-0087,456,PROV-23,2025-11-19,2025-11-24,77924
OC-5237,2024-08-19,MP-0017,2211,PROV-32,2024-09-10,2024-09-24,165823
OC-5645,2025-02-25,MP-0050,498,PROV-26,2025-03-03,2025-03-15,63500
OC-5133,2024-08-03,MP-0010,2046,PROV-24,2024-08-23,2024-09-08,244981
OC-5472,2025-08-28,MP-0032,1969,PROV-03,2025-09-09,2025-09-05,196328
OC-5346,2026-03-13,MP-0024,1103,PROV-31,2026-04-02,2026-04-20,223650
OC-6242,2026-01-23,MP-0200,54,PROV-11,2026-02-04,2026-02-09,13801
OC-6076,2024-09-21,MP-0131,498,PROV-35,2024-09-30,2024-10-12,37576
OC-6442,2024-12-31,MP-0392,86,PROV-05,2025-01-09,2025-01-20,1025
OC-5813,2025-11-30,MP-0084,512,PROV-34,2025-12-07,2025-12-10,26907
OC-5269,2025-08-09,MP-0020,999,PROV-29,2025-08-24,2025-09-16,248445
OC-6375,2026-04-02,MP-0327,9,PROV-06,2026-04-16,2026-04-28,8037
OC-5057,2026-06-22,MP-0005,950,PROV-15,2026-07-06,,141286
OC-5106,2026-06-26,MP-0009,1385,PROV-10,2026-07-14,2026-08-01,256746
OC-5215,2026-03-11,MP-0016,1087,PROV-30,2026-03-26,2026-04-15,142723
OC-5625,2025-01-16,MP-0046,433,PROV-14,2025-02-01,2025-01-29,36673
OC-5402,2026-04-11,MP-0029,904,PROV-04,2026-04-25,2026-04-30,310652
OC-5585,2025-08-26,MP-0040,1161,PROV-31,2025-09-12,2025-09-22,143609
OC-5506,2026-02-10,MP-0034,1286,PROV-03,2026-02-28,2026-03-19,318023
OC-5949,2024-09-04,MP-0106,319,PROV-24,2024-09-14,2024-09-20,22268
OC-5993,2025-08-04,MP-0117,273,PROV-27,2025-08-14,2025-08-19,19690
OC-5309,2026-05-06,MP-0022,1359,PROV-07,2026-05-19,2026-05-23,173118
OC-6028,2026-05-04,MP-0123,287,PROV-26,2026-05-19,2026-05-26,29806
OC-5321,2024-10-03,MP-0023,2061,PROV-26,2024-10-19,2024-10-19,120113
OC-5608,2025-01-16,MP-0044,447,PROV-06,2025-01-21,2025-01-28,64011
OC-5387,2026-04-14,MP-0028,893,PROV-06,2026-05-03,2026-05-25,367530
OC-5597,2025-12-23,MP-0042,245,PROV-08,2026-01-04,2026-01-11,50406
OC-5019,2024-09-10,MP-0002,2233,PROV-02,2024-10-03,2024-10-14,98702
OC-5015,2026-06-05,MP-0002,2357,PROV-02,2026-06-28,2026-07-12,98702
OC-6082,2025-09-30,MP-0131,406,PROV-35,2025-10-09,2025-10-28,37576
OC-6207,2024-07-01,MP-0167,94,PROV-33,2024-07-08,2024-07-16,13015
OC-6103,2025-10-09,MP-0135,335,PROV-01,2025-10-14,2025-10-16,25279
OC-5476,2025-01-31,MP-0033,2136,PROV-15,2025-02-16,2025-02-26,157770
OC-5497,2024-10-05,MP-0033,2201,PROV-15,2024-10-21,2024-11-11,157770
OC-5820,2025-03-12,MP-0085,259,PROV-25,2025-03-23,2025-04-03,42369
OC-6445,2026-01-17,MP-0395,53,PROV-31,2026-01-24,2026-01-26,12818
OC-5556,2024-08-04,MP-0038,1017,PROV-32,2024-08-22,2024-09-15,307900
OC-5577,2025-08-28,MP-0040,1041,PROV-31,2025-09-14,2025-10-02,143609
OC-6327,2024-10-01,MP-0283,53,PROV-20,2024-10-09,2024-10-13,10720
OC-6304,2025-01-21,MP-0260,51,PROV-13,2025-02-07,2025-02-18,3134
OC-5385,2025-04-13,MP-0028,821,PROV-06,2025-05-02,2025-05-12,367530
OC-5967,2026-06-10,MP-0110,204,PROV-26,2026-06-18,2035-06-30,70066
OC-5588,2025-04-15,MP-0040,1613,PROV-31,2025-05-02,2025-05-08,143609
OC-6055,2026-06-26,MP-0128,447,PROV-22,2026-07-04,2026-07-04,56497
OC-5917,2025-05-23,MP-0100,317,PROV-10,2025-05-31,2025-06-09,61699
OC-5824,2024-09-04,MP-0086,116,PROV-33,2024-09-19,2024-09-15,69618
OC-5431,2025-04-21,MP-0030,1465,PROV-27,2025-05-07,2025-05-08,284982
OC-5421,2024-10-11,MP-0030,1829,PROV-27,2024-10-27,2024-11-10,284982
OC-6414,2025-03-09,MP-0365,24,PROV-15,2025-03-15,2025-03-19,1744
OC-5036,2025-09-10,MP-0003,823,PROV-01,2025-09-24,2025-10-10,178655
OC-6143,2025-03-06,MP-0142,277,PROV-26,2025-03-20,2025-03-26,34292
OC-5212,2025-04-17,MP-0016,1228,PROV-30,2025-05-02,2025-05-16,142723
OC-6230,2025-07-21,MP-0188,50,PROV-23,2025-07-27,2025-07-30,1200
OC-5288,2025-08-16,MP-0021,737,PROV-03,2025-08-29,2025-09-12,188399
OC-5953,2024-09-12,MP-0107,277,PROV-07,2024-09-26,2024-09-30,69513
OC-5017,2025-03-14,MP-0002,1597,PROV-02,2025-04-06,2025-04-18,98702
OC-6000,2026-04-29,MP-0118,252,PROV-09,2026-05-04,2026-05-07,71465
OC-5205,2025-02-25,MP-0015,533,PROV-03,2025-03-12,2025-03-17,151416
OC-5735,2025-10-02,MP-0066,372,PROV-27,2025-10-14,2025-10-11,21206
OC-6322,2025-12-23,MP-0278,39,PROV-16,2026-01-06,2026-01-13,631
OC-5429,2024-12-20,MP-0030,1722,PROV-27,2025-01-05,2025-01-02,284982
OC-5708,2025-07-29,MP-0059,393,PROV-24,2025-08-08,2025-08-24,34481
OC-5174,2024-12-18,MP-0013,916,PROV-06,2025-01-05,2025-01-28,361794
OC-5125,2024-10-21,MP-0010,1418,PROV-24,2024-11-10,2024-11-10,244981
OC-5278,2025-10-28,MP-0020,528,PROV-29,2025-11-12,2025-11-16,248445
OC-6008,2025-02-10,MP-0120,432,PROV-01,2025-02-24,2025-03-14,57256
OC-5833,2025-02-12,MP-0087,446,PROV-23,2025-02-20,2025-02-21,77924
OC-5668,2025-10-19,MP-0054,253,PROV-35,2025-10-25,2025-11-01,52942
OC-6113,2025-02-28,MP-0137,321,PROV-09,2025-03-06,2025-03-13,39144
OC-5914,2025-01-05,MP-0100,337,PROV-10,2025-01-13,2025-01-19,61699
OC-6277,2026-01-25,MP-0234,46,PROV-34,2026-02-05,2026-02-17,13458
OC-5249,2025-02-15,MP-0018,1658,PROV-07,2025-02-26,2025-03-16,91904
OC-5272,2025-03-28,MP-0020,706,PROV-29,2025-04-12,2025-04-22,248445
OC-5590,2025-08-24,MP-0040,1960,PROV-31,2025-09-10,2025-09-25,143609
OC-5539,2024-07-01,MP-0036,457,PROV-32,2024-07-12,2024-07-10,339654
OC-5622,2025-03-14,MP-0045,383,PROV-09,2025-03-20,2025-03-26,62696
OC-6324,2025-03-10,MP-0280,30,PROV-10,2025-03-15,2025-03-16,2504
OC-5293,2024-08-28,MP-0022,1298,PROV-07,2024-09-10,2024-10-03,173118
OC-5438,2025-10-31,MP-0031,563,PROV-17,2025-11-13,2025-11-17,324073
OC-5808,2024-08-07,MP-0083,186,PROV-07,2024-08-13,2024-08-17,73001
OC-5582,2026-05-09,MP-0040,1781,PROV-31,2026-05-26,2026-06-19,143609
OC-5790,2025-03-06,MP-0080,292,PROV-24,2025-03-16,2025-03-22,39838
OC-5153,2025-10-05,MP-0012,1382,PROV-29,2025-10-19,2025-11-01,260365
OC-6231,2024-09-20,MP-0189,53,PROV-10,2024-10-06,2024-10-20,5058
OC-5700,2024-11-18,MP-0058,446,PROV-25,2024-11-24,2024-11-29,64400
OC-5382,2024-07-10,MP-0027,755,PROV-27,2024-07-26,2024-08-05,179174
OC-5184,2024-08-30,MP-0014,824,PROV-26,2024-09-08,2024-09-12,234603
OC-5469,2026-02-25,MP-0032,1868,PROV-03,2026-03-09,2026-03-07,196328
OC-6325,2024-10-13,MP-0281,20,PROV-05,2024-10-24,2024-11-02,7868
OC-6349,2024-07-08,MP-0304,32,PROV-32,2024-07-24,2024-07-31,5637
OC-5776,2025-10-07,MP-0075,176,PROV-33,2025-10-13,2025-10-20,30143
OC-5370,2026-03-24,MP-0026,1182,PROV-28,2026-04-04,2026-04-15,393154
OC-5458,2026-02-03,MP-0032,2299,PROV-03,2026-02-15,2026-02-22,196328
OC-5572,2026-04-07,MP-0040,1271,PROV-31,2026-04-24,2026-05-11,143609
OC-5859,2024-07-30,MP-0090,395,PROV-02,2024-08-11,2024-09-06,48252
OC-6423,2025-02-14,MP-0374,23,PROV-15,2025-02-19,2025-03-02,2099
OC-6147,2025-01-19,MP-0143,79,PROV-10,2025-01-30,2025-02-14,78410
OC-6289,2026-05-15,MP-0246,99,PROV-05,2026-05-28,2026-06-05,10117
OC-5635,2026-03-12,MP-0048,326,PROV-07,2026-03-20,2026-03-31,15566
OC-5422,2026-06-12,MP-0030,1646,PROV-27,2026-06-28,2026-07-18,284982
OC-6298,2026-06-21,MP-0255,61,PROV-35,2026-07-04,2026-07-19,7693
OC-5719,2025-08-27,MP-0062,273,PROV-08,2025-09-09,2025-09-29,42841
OC-6112,2024-12-21,MP-0137,333,PROV-09,2024-12-27,2025-01-01,39144
OC-5256,2024-08-19,MP-0018,1098,PROV-07,2024-08-30,2024-09-08,91904
OC-5460,2024-09-01,MP-0032,1185,PROV-03,2024-09-13,2024-10-01,196328
OC-5666,2024-07-29,MP-0053,342,PROV-21,2024-08-10,2024-08-22,21843
OC-5576,2026-05-22,MP-0040,1883,PROV-31,2026-06-08,2026-06-15,143609
OC-5956,2026-04-12,MP-0108,192,PROV-06,2026-04-24,2026-05-18,25925
OC-5112,2026-04-01,MP-0009,1601,PROV-10,2026-04-19,2026-04-19,256746
OC-5950,2025-03-06,MP-0106,366,PROV-24,2025-03-16,2025-03-29,22268
OC-5311,2025-08-18,MP-0023,2077,PROV-26,2025-09-03,2025-09-18,120113
OC-6094,2026-05-20,MP-0134,274,PROV-25,2026-06-01,2026-06-08,64521
OC-5903,2025-06-11,MP-0099,574,PROV-17,2025-06-17,2025-06-26,42946
OC-6297,2025-09-29,MP-0254,63,PROV-25,2025-10-11,2025-10-23,8919
OC-6301,2026-06-09,MP-0257,87,PROV-03,2026-06-25,2026-06-27,3868
OC-6335,2026-06-11,MP-0290,46,PROV-13,2026-06-25,2035-07-03,14877
OC-6380,2026-02-15,MP-0332,88,PROV-07,2026-03-03,2026-03-20,6819
OC-6137,2025-07-30,MP-0141,333,PROV-32,2025-08-05,2025-08-09,20387
OC-5875,2025-06-01,MP-0094,416,PROV-11,2025-06-13,2025-06-23,40900
OC-5225,2024-12-15,MP-0017,1421,PROV-32,2025-01-06,2025-01-22,165823
OC-5391,2026-01-02,MP-0029,899,PROV-04,2026-01-16,2026-01-30,310652
OC-5466,2025-04-10,MP-0032,2234,PROV-03,2025-04-22,2025-05-09,196328
OC-6204,2025-09-21,MP-0164,42,PROV-10,2025-09-30,2025-10-15,1846
OC-5661,2025-05-03,MP-0052,88,PROV-14,2025-05-14,2025-06-03,35381
OC-6085,2026-02-26,MP-0132,234,PROV-09,2026-03-09,2026-03-24,32995
OC-6424,2026-04-14,MP-0375,46,PROV-02,2026-04-23,2026-04-29,2599
OC-6378,2026-05-08,MP-0330,20,PROV-32,2026-05-16,2026-05-22,8021
OC-5683,2025-04-29,MP-0057,383,PROV-02,2025-05-07,2025-05-19,65040
OC-5995,2026-06-03,MP-0117,226,PROV-27,2026-06-13,,19690
OC-5035,2025-01-01,MP-0003,752,PROV-01,2025-01-15,2025-02-07,178655
OC-6312,2025-01-21,MP-0268,5,PROV-17,2025-01-27,2025-02-03,12459
OC-6346,2025-07-21,MP-0301,27,PROV-07,2025-08-06,2025-08-08,13471
OC-5716,2026-03-04,MP-0061,166,PROV-23,2026-03-15,2026-03-28,53880
OC-5304,2026-04-06,MP-0022,961,PROV-07,2026-04-19,2026-04-26,173118
OC-5392,2026-05-09,MP-0029,1248,PROV-04,2026-05-23,2026-06-15,310652
OC-5297,2025-03-09,MP-0022,1537,PROV-07,2025-03-22,2025-03-29,173118
OC-5259,2026-03-11,MP-0018,1623,PROV-07,2026-03-22,2026-04-11,91904
OC-5647,2025-07-27,MP-0050,491,PROV-26,2025-08-02,2025-08-09,63500
OC-5032,2025-04-21,MP-0003,564,PROV-01,2025-05-05,2025-05-14,178655
OC-6056,2025-12-19,MP-0128,297,PROV-22,2025-12-27,2026-01-03,56497
OC-5643,2025-09-23,MP-0049,162,PROV-05,2025-10-06,2035-10-15,27515
OC-5058,2026-04-24,MP-0005,1464,PROV-15,2026-05-08,2026-05-16,141286
OC-6331,2026-04-17,MP-0286,90,PROV-06,2026-04-24,2026-05-02,8518
OC-5482,2025-07-22,MP-0033,1449,PROV-15,2025-08-07,2025-08-27,157770
OC-6368,2024-10-03,MP-0320,45,PROV-14,2024-10-20,2024-10-22,1174
OC-5906,2025-04-20,MP-0099,463,PROV-17,2025-04-26,2025-05-01,42946
OC-5062,2024-07-07,MP-0005,1409,PROV-15,2024-07-21,2024-07-30,141286
OC-5915,2025-03-16,MP-0100,321,PROV-10,2025-03-24,2025-03-28,61699
OC-6344,2026-05-04,MP-0299,89,PROV-32,2026-05-11,2026-05-20,7144
OC-6050,2025-12-17,MP-0127,217,PROV-19,2025-12-25,2025-12-30,17887
OC-5100,2024-10-20,MP-0009,1213,PROV-10,2024-11-07,2024-11-29,256746
OC-5971,2025-11-08,MP-0111,123,PROV-08,2025-11-17,2025-11-29,71165
OC-6092,2025-07-26,MP-0134,231,PROV-25,2025-08-07,2025-08-12,64521
OC-6060,2025-02-24,MP-0128,456,PROV-22,2025-03-04,2025-03-12,56497
OC-5698,2026-04-30,MP-0058,438,PROV-25,2026-05-06,2026-05-07,64400
OC-5331,2026-06-25,MP-0023,2201,PROV-26,2026-07-11,2035-08-01,120113
OC-5426,2025-12-09,MP-0030,1973,PROV-27,2025-12-25,2025-12-28,284982
OC-5740,2025-07-31,MP-0067,271,PROV-04,2025-08-11,2025-08-17,65561
OC-5427,2025-09-29,MP-0030,1671,PROV-27,2025-10-15,2025-10-09,284982
OC-5388,2025-05-09,MP-0028,610,PROV-06,2025-05-28,2025-06-23,367530
OC-5248,2026-05-18,MP-0018,1042,PROV-07,2026-05-29,2026-06-14,91904
OC-5710,2024-07-03,MP-0060,176,PROV-25,2024-07-20,2024-07-31,33628
OC-5754,2024-10-29,MP-0071,413,PROV-18,2024-11-08,2024-11-18,64609
OC-5938,2024-11-17,MP-0103,365,PROV-09,2024-11-25,2024-11-23,50643
OC-5453,2024-07-17,MP-0032,1529,PROV-03,2024-07-29,2024-08-12,196328
OC-5347,2024-12-15,MP-0024,1875,PROV-31,2025-01-04,2025-01-19,223650
OC-5853,2025-10-03,MP-0089,336,PROV-14,2025-10-12,2025-10-19,56054
OC-6006,2025-01-21,MP-0119,119,PROV-19,2025-01-31,2025-02-14,55990
OC-5009,2025-06-13,MP-0002,1671,PROV-02,2025-07-06,2025-07-25,98702
OC-5886,2025-10-08,MP-0095,243,PROV-08,2025-10-16,2025-10-18,49436
OC-5785,2025-10-15,MP-0077,456,PROV-34,2025-11-01,2025-11-17,66191
OC-6219,2025-08-06,MP-0177,59,PROV-17,2025-08-14,2025-08-21,929
OC-5223,2025-11-12,MP-0017,2134,PROV-32,2025-12-04,2025-12-20,165823
OC-6220,2025-05-17,MP-0178,13,PROV-22,2025-05-25,2025-06-02,7406
OC-6089,2025-03-10,MP-0133,246,PROV-01,2025-03-19,2025-03-29,24738
OC-6302,2025-05-01,MP-0258,15,PROV-11,2025-05-10,2025-05-16,14988
OC-5141,2024-10-03,MP-0011,1129,PROV-17,2024-10-23,2024-11-11,356026
OC-5706,2025-02-24,MP-0059,298,PROV-24,2025-03-06,2025-03-09,34481
OC-6314,2025-02-01,MP-0270,14,PROV-15,2025-02-09,2025-02-19,5780
OC-6197,2025-06-12,MP-0157,49,PROV-12,2025-06-18,2025-07-04,2791
OC-5282,2025-07-22,MP-0021,657,PROV-03,2025-08-04,2025-08-16,188399
OC-5952,2024-09-03,MP-0106,486,PROV-24,2024-09-13,2024-09-23,22268
OC-6401,2026-05-03,MP-0352,93,PROV-11,2026-05-12,,1179
OC-5731,2024-08-21,MP-0066,310,PROV-27,2024-09-02,2024-09-07,21206
OC-5074,2025-11-23,MP-0006,869,PROV-08,2025-12-08,2025-12-15,142141
OC-6440,2025-12-16,MP-0390,56,PROV-17,2025-12-29,2026-01-07,13936
OC-6431,2026-04-04,MP-0382,70,PROV-12,2026-04-11,2026-04-12,12199
OC-6387,2025-04-29,MP-0339,36,PROV-07,2025-05-06,2025-05-14,4192
OC-5169,2025-10-21,MP-0013,790,PROV-06,2025-11-08,,361794
OC-6108,2025-11-30,MP-0136,218,PROV-03,2025-12-16,2026-01-02,50144
OC-5157,2024-12-17,MP-0012,1204,PROV-29,2024-12-31,2025-01-11,260365
OC-5945,2025-10-11,MP-0105,139,PROV-29,2025-10-22,2025-10-30,56750
OC-5124,2025-02-27,MP-0010,2235,PROV-24,2025-03-19,2025-04-04,244981
OC-5252,2025-07-03,MP-0018,1374,PROV-07,2025-07-14,2035-07-27,91904
OC-5665,2025-09-09,MP-0053,309,PROV-21,2025-09-21,2025-09-18,21843
OC-5245,2025-05-22,MP-0018,1090,PROV-07,2025-06-02,2025-06-09,91904
OC-5436,2025-11-01,MP-0030,1817,PROV-27,2025-11-17,2025-11-28,284982
OC-6358,2024-07-24,MP-0313,106,PROV-07,2024-07-31,2024-07-31,12338
OC-5745,2025-03-22,MP-0069,428,PROV-16,2025-04-03,2025-04-20,44153
OC-5471,2026-04-26,MP-0032,2127,PROV-03,2026-05-08,2026-05-17,196328
OC-6075,2025-03-15,MP-0130,441,PROV-11,2025-03-25,2025-04-01,74019
OC-5944,2026-03-25,MP-0104,290,PROV-06,2026-04-07,2026-04-12,71159
OC-5930,2025-10-01,MP-0102,219,PROV-34,2025-10-10,2025-10-15,15942
OC-5800,2025-10-27,MP-0081,335,PROV-04,2025-11-06,,29017
OC-5667,2026-01-11,MP-0054,303,PROV-35,2026-01-17,2026-01-29,52942
OC-5164,2025-08-11,MP-0012,1034,PROV-29,2025-08-25,2025-09-05,260365
OC-5116,2026-01-28,MP-0010,1992,PROV-24,2026-02-17,2026-02-28,244981
OC-5080,2025-08-05,MP-0007,656,PROV-01,2025-08-22,2025-09-03,313781
OC-5775,2025-07-18,MP-0075,135,PROV-33,2025-07-24,2025-08-02,30143
OC-5567,2024-07-10,MP-0039,1071,PROV-26,2024-07-29,2024-07-30,395252
OC-5483,2026-01-22,MP-0033,2066,PROV-15,2026-02-07,2026-02-07,157770
OC-5715,2026-04-03,MP-0061,284,PROV-23,2026-04-14,,53880
OC-6443,2025-09-10,MP-0393,30,PROV-11,2025-09-19,2025-09-30,9553
OC-6142,2026-04-02,MP-0142,382,PROV-26,2026-04-16,2026-04-15,34292
OC-5544,2025-05-16,MP-0037,905,PROV-34,2025-05-29,2025-06-17,101283
OC-5154,2026-02-05,MP-0012,802,PROV-29,2026-02-19,2026-02-15,260365
OC-6250,2026-01-06,MP-0208,110,PROV-11,2026-01-20,2026-01-22,8505
OC-5234,2025-04-22,MP-0017,2256,PROV-32,2025-05-14,2025-06-06,165823
OC-5691,2025-12-13,MP-0057,415,PROV-02,2025-12-21,2025-12-25,65040
OC-5239,2025-09-08,MP-0018,1063,PROV-07,2025-09-19,2025-10-05,91904
OC-5221,2024-09-11,MP-0017,2247,PROV-32,2024-10-03,2024-10-18,165823
OC-5795,2024-11-12,MP-0081,331,PROV-04,2024-11-22,2024-11-22,29017
OC-6035,2025-01-05,MP-0125,518,PROV-12,2025-01-11,2025-01-14,76778
OC-5707,2025-04-26,MP-0059,464,PROV-24,2025-05-06,2025-05-08,34481
OC-6390,2026-04-13,MP-0342,38,PROV-18,2026-04-22,2026-04-29,973
OC-5001,2025-02-28,MP-0001,426,PROV-02,2025-03-11,2025-03-15,299035
OC-5195,2024-11-21,MP-0014,973,PROV-26,2024-11-30,2024-12-07,234603
OC-5094,2025-09-01,MP-0008,746,PROV-20,2025-09-21,2025-10-17,310890
OC-5283,2025-08-03,MP-0021,955,PROV-03,2025-08-16,2025-08-25,188399
OC-5722,2025-08-17,MP-0063,183,PROV-34,2025-08-29,2025-09-10,30966
OC-6211,2026-06-26,MP-0170,19,PROV-13,2026-07-13,2026-07-29,4382
OC-5355,2025-08-19,MP-0025,1185,PROV-24,2025-09-07,2025-09-10,216530
OC-5758,2025-02-06,MP-0071,340,PROV-18,2025-02-16,2025-02-23,64609
OC-6285,2024-11-25,MP-0242,13,PROV-23,2024-12-08,2024-12-21,12815
OC-5747,2024-12-06,MP-0069,437,PROV-16,2024-12-18,2025-01-05,44153
OC-5515,2026-04-24,MP-0034,1240,PROV-03,2026-05-12,2026-05-29,318023
OC-5517,2025-12-11,MP-0035,1343,PROV-34,2025-12-28,2026-01-19,391712
OC-5470,2026-03-17,MP-0032,1720,PROV-03,2026-03-29,2026-03-30,196328
OC-5177,2026-06-01,MP-0014,1327,PROV-26,2026-06-10,2026-06-29,234603
OC-5983,2025-05-19,MP-0114,218,PROV-10,2025-05-26,2025-05-28,34343
OC-6455,2026-04-04,MP-0404,39,PROV-06,2026-04-14,2026-04-29,5831
OC-5912,2024-09-25,MP-0099,374,PROV-17,2024-10-01,2024-10-10,42946
OC-5788,2024-11-16,MP-0079,223,PROV-27,2024-12-01,2024-12-08,61211
OC-5038,2026-04-01,MP-0004,930,PROV-20,2026-04-13,2026-05-02,385136
OC-5211,2024-07-19,MP-0016,989,PROV-30,2024-08-03,2024-08-24,142723
OC-5285,2026-01-29,MP-0021,1009,PROV-03,2026-02-11,2026-02-26,188399
OC-6471,2024-08-14,MP-0420,29,PROV-33,2024-08-21,2024-08-28,13429
OC-5424,2025-12-12,MP-0030,1510,PROV-27,2025-12-28,2025-12-29,284982
OC-6072,2026-01-08,MP-0130,254,PROV-11,2026-01-18,2026-01-27,74019
OC-5224,2025-08-04,MP-0017,2083,PROV-32,2025-08-26,2025-09-22,165823
OC-6081,2025-02-20,MP-0131,356,PROV-35,2025-03-01,2025-03-03,37576
OC-5520,2026-01-05,MP-0035,1695,PROV-34,2026-01-22,2026-02-04,391712
OC-6159,2026-01-17,MP-0145,458,PROV-30,2026-01-24,2026-01-29,22774
OC-5872,2024-10-08,MP-0093,305,PROV-20,2024-10-15,2024-10-24,67888
OC-6126,2024-07-03,MP-0139,235,PROV-03,2024-07-12,,22444
OC-5865,2024-12-15,MP-0092,269,PROV-11,2024-12-26,2025-01-02,22184
OC-5317,2025-06-08,MP-0023,1609,PROV-26,2025-06-24,2025-07-13,120113
OC-5451,2024-12-06,MP-0032,1302,PROV-03,2024-12-18,2025-01-10,196328
OC-5570,2026-05-05,MP-0039,1073,PROV-26,2026-05-24,2026-06-06,395252
OC-6080,2025-03-07,MP-0131,420,PROV-35,2025-03-16,2025-03-31,37576
OC-5792,2025-11-18,MP-0080,172,PROV-24,2025-11-28,2025-11-28,39838
OC-5540,2026-02-19,MP-0036,414,PROV-32,2026-03-02,2026-03-14,339654
OC-6052,2025-11-19,MP-0128,391,PROV-22,2025-11-27,2025-12-03,56497
OC-5474,2026-05-04,MP-0032,2005,PROV-03,2026-05-16,2026-05-24,196328
OC-6077,2025-01-07,MP-0131,535,PROV-35,2025-01-16,2025-01-23,37576
OC-5693,2025-12-12,MP-0058,449,PROV-25,2025-12-18,2025-12-19,64400
OC-5318,2026-03-19,MP-0023,2098,PROV-26,2026-04-04,2026-04-10,120113
OC-5020,2024-08-17,MP-0002,1595,PROV-02,2024-09-09,,98702
OC-5764,2025-05-05,MP-0073,260,PROV-14,2025-05-16,2025-05-27,45806
OC-6144,2025-03-27,MP-0142,499,PROV-26,2025-04-10,2025-04-23,34292
OC-6033,2025-09-17,MP-0125,385,PROV-12,2025-09-23,2025-09-26,76778
OC-5560,2024-10-21,MP-0038,587,PROV-32,2024-11-08,2024-11-18,307900
OC-6329,2025-09-06,MP-0285,42,PROV-08,2025-09-22,2025-09-23,11740
OC-6173,2026-04-16,MP-0147,324,PROV-28,2026-04-26,2026-05-05,48242
OC-6418,2025-11-11,MP-0369,46,PROV-23,2025-11-25,2025-12-04,8062
OC-5369,2026-04-22,MP-0026,796,PROV-28,2026-05-03,2026-05-09,393154
OC-5246,2026-06-10,MP-0018,1385,PROV-07,2026-06-21,2026-06-28,91904
OC-5407,2024-08-06,MP-0029,901,PROV-04,2024-08-20,2024-08-26,310652
OC-5911,2025-07-10,MP-0099,386,PROV-17,2025-07-16,2025-07-20,42946
OC-5642,2025-09-14,MP-0049,123,PROV-05,2025-09-27,2025-10-10,27515
OC-5819,2025-07-20,MP-0084,291,PROV-34,2025-07-27,2025-08-03,26907
OC-5770,2024-11-28,MP-0074,438,PROV-01,2024-12-04,,57757
OC-5197,2024-11-13,MP-0014,1007,PROV-26,2024-11-22,,234603
OC-6133,2024-07-21,MP-0141,362,PROV-32,2024-07-27,2024-08-03,20387
OC-6259,2026-02-04,MP-0217,26,PROV-25,2026-02-18,2026-02-25,7822
OC-5646,2024-10-29,MP-0050,313,PROV-26,2024-11-04,2024-11-13,63500
OC-5148,2024-08-15,MP-0011,2053,PROV-17,2024-09-04,2024-09-29,356026
OC-5408,2025-03-25,MP-0029,881,PROV-04,2025-04-08,2025-04-22,310652
OC-6019,2025-01-28,MP-0121,285,PROV-16,2025-02-06,2025-02-12,50877
OC-6088,2026-03-07,MP-0133,194,PROV-01,2026-03-16,2026-03-26,24738
OC-5292,2026-02-14,MP-0022,1381,PROV-07,2026-02-27,2026-03-05,173118
OC-6382,2025-09-01,MP-0334,48,PROV-06,2025-09-12,2025-09-17,9561
OC-5750,2025-04-18,MP-0070,203,PROV-16,2025-04-27,2025-05-13,57954
OC-5180,2024-10-29,MP-0014,748,PROV-26,2024-11-07,2024-11-13,234603
OC-5958,2025-07-11,MP-0108,216,PROV-06,2025-07-23,2025-07-29,25925
OC-5114,2026-06-04,MP-0010,1606,PROV-24,2026-06-24,2026-06-20,244981
OC-5807,2024-07-15,MP-0083,275,PROV-07,2024-07-21,,73001
OC-5281,2024-08-23,MP-0021,1095,PROV-03,2024-09-05,2024-09-15,188399
OC-5512,2025-03-02,MP-0034,1410,PROV-03,2025-03-20,2025-04-15,318023
OC-5779,2024-10-02,MP-0076,118,PROV-11,2024-10-19,2024-11-04,29459
OC-6434,2025-12-05,MP-0385,81,PROV-07,2025-12-14,2025-12-22,11740
OC-5320,2025-05-16,MP-0023,1535,PROV-26,2025-06-01,2025-06-23,120113
OC-5532,2026-02-23,MP-0035,1382,PROV-34,2026-03-12,2026-03-11,391712
OC-5095,2025-08-13,MP-0009,1712,PROV-10,2025-08-31,2025-09-09,256746
OC-6093,2025-10-08,MP-0134,212,PROV-25,2025-10-20,2025-10-28,64521
OC-5136,2025-12-27,MP-0011,1111,PROV-17,2026-01-16,2026-02-10,356026
